Economic Sector,Business Sector,Industry Group,Industry,Activity,Hierarchical ID
Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,LNG Transportation & Storage,5010303011
Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Natural Gas Pipeline Transportation,5010303012
Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Oil Pipeline Transportation,5010303013
Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Sea-Borne Tankers,5010303014
Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Oil & Gas Storage,5010303015
Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Renewable Energy Equipment & Services (NEC),5020101010
Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wind Systems & Equipment,5020101011
Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Stationary Fuel Cells,5020101012
Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Photovoltaic Solar Systems & Equipment,5020101013
Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Thermal Solar Systems & Equipment,5020101014
Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Biomass Power Energy Equipment,5020101015
Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Waste to Energy Systems & Equipment,5020101016
Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Hydropower Equipment,5020101017
Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wave Power Energy Equipment,5020101018
Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Renewable Energy Services,5020101019
Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Geothermal Equipment,5020101020
Energy,Renewable Energy,Renewable Energy,Renewable Fuels,Renewable Fuels (NEC),5020102010
Energy,Renewable Energy,Renewable Energy,Renewable Fuels,Biodiesel,5020102011
Energy,Renewable Energy,Renewable Energy,Renewable Fuels,Ethanol Fuels,5020102012
Energy,Renewable Energy,Renewable Energy,Renewable Fuels,Pyrolytic & Synthetic Fuels,5020102013
Energy,Renewable Energy,Renewable Energy,Renewable Fuels,Biomass & Biogas Fuels,5020102014
Energy,Renewable Energy,Renewable Energy,Renewable Fuels,Hydrogen Fuel,5020102015
Energy,Uranium,Uranium,Uranium,Uranium (NEC),5030101010
Energy,Uranium,Uranium,Uranium,Uranium Mining,5030101011
Energy,Uranium,Uranium,Uranium,Uranium Processing,5030101012
Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),5110101010
Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Plastics,5110101011
Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Paints & Coatings,5110101012
Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Tanning & Softening Agents,5110101013
Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Explosives,5110101014
Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Industrial Gases,5110101015
Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals Wholesale,5110101016
Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Glass,5110101017
Basic Materials,Chemicals,Chemicals,Agricultural Chemicals,Agricultural Chemicals (NEC),5110102010
Basic Materials,Chemicals,Chemicals,Agricultural Chemicals,Fertilizers,5110102011
Basic Materials,Chemicals,Chemicals,Agricultural Chemicals,Pesticides,5110102012
Basic Materials,Chemicals,Chemicals,Agricultural Chemicals,Organic Fertilizers,5110102013
Basic Materials,Chemicals,Chemicals,Agricultural Chemicals,Agricultural Chemicals Wholesale,5110102014
Basic Materials,Chemicals,Chemicals,Specialty Chemicals,Specialty Chemicals (NEC),5110103010
Basic Materials,Chemicals,Chemicals,Specialty Chemicals,Coloring Agents,5110103011
Basic Materials,Chemicals,Chemicals,Specialty Chemicals,Synthetic Fibers,5110103012
Basic Materials,Chemicals,Chemicals,Specialty Chemicals,Advanced Polymers,5110103014
Basic Materials,Chemicals,Chemicals,Specialty Chemicals,Industrial Biotechnology Chemicals,5110103016
Basic Materials,Chemicals,Chemicals,Specialty Chemicals,Specialty Chemicals Wholesale,5110103017
Basic Materials,Chemicals,Chemicals,Specialty Chemicals,Composites,5110103018
Basic Materials,Chemicals,Chemicals,Specialty Chemicals,Adhesive & Epoxy,5110103019
Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,5110109010
Basic Materials,Mineral Resources,Metals & Mining,Non-Gold Precious Metals & Minerals,Non-Gold Precious Metals & Minerals (NEC),5120101010
Basic Materials,Mineral Resources,Metals & Mining,Non-Gold Precious Metals & Minerals,Silver Mining,5120101011
Basic Materials,Mineral Resources,Metals & Mining,Non-Gold Precious Metals & Minerals,Platinum Mining,5120101012
Basic Materials,Mineral Resources,Metals & Mining,Non-Gold Precious Metals & Minerals,Diamond Mining,5120101013
Basic Materials,Mineral Resources,Metals & Mining,Non-Gold Precious Metals & Minerals,Semiprecious Gem Stones,5120101014
Basic Materials,Mineral Resources,Metals & Mining,Non-Gold Precious Metals & Minerals,Pearl Cultivation,5120101015
Basic Materials,Mineral Resources,Metals & Mining,Non-Gold Precious Metals & Minerals,Rare Earth Minerals,5120101016
Basic Materials,Mineral Resources,Metals & Mining,Iron & Steel,Iron & Steel (NEC),5120102010
Basic Materials,Mineral Resources,Metals & Mining,Iron & Steel,Iron Ore Mining,5120102011
Basic Materials,Mineral Resources,Metals & Mining,Iron & Steel,Coke Coal Mining,5120102012
Basic Materials,Mineral Resources,Metals & Mining,Iron & Steel,"Iron, Steel Mills & Foundries",5120102013
Basic Materials,Mineral Resources,Metals & Mining,Iron & Steel,Metal Service Centers,5120102014
Basic Materials,Mineral Resources,Metals & Mining,Iron & Steel,Metallic Rolling & Drawing Products,5120102015
Basic Materials,Mineral Resources,Metals & Mining,Iron & Steel,Metal Merchant Wholesale,5120102016
Basic Materials,Mineral Resources,Metals & Mining,Aluminum,Aluminum (NEC),5120103010
Basic Materials,Mineral Resources,Metals & Mining,Aluminum,Primary Aluminum Production,5120103011
Basic Materials,Mineral Resources,Metals & Mining,Aluminum,Secondary Smelting & Alloying of Aluminum,5120103012
Basic Materials,Mineral Resources,Metals & Mining,Aluminum,Aluminum Rolling,5120103013
Basic Materials,Mineral Resources,Metals & Mining,Aluminum,Aluminum Refining,5120103014
Basic Materials,Mineral Resources,Metals & Mining,Aluminum,Aluminum Wholesale,5120103015
Basic Materials,Mineral Resources,Metals & Mining,Aluminum,Bauxite Mining,5120103016
Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Specialty Mining & Metals (NEC),5120105010
Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Lead Ore Mining,5120105011
Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Copper Ore Mining,5120105012
Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Nickel Ore Mining,5120105013
Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Zinc Ore Mining,5120105014
Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Nonferrous Metal Mining,5120105015
Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Nonferrous Metal Processing,5120105016
Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Specialty Mining & Metals Wholesale,5120105017
Basic Materials,Mineral Resources,Metals & Mining,Gold,Gold (NEC),5120106010
Basic Materials,Mineral Resources,Metals & Mining,Gold,Gold Mining,5120106011
Basic Materials,Mineral Resources,Metals & Mining,Gold,Gold Refining,5120106012
Basic Materials,Mineral Resources,Metals & Mining,Mining Support Services & Equipment,Mining Support Services & Equipment (NEC),5120107010
Basic Materials,Mineral Resources,Metals & Mining,Mining Support Services & Equipment,Geophysical Surveying & Mapping Services,5120107011
Basic Materials,Mineral Resources,Metals & Mining,Mining Support Services & Equipment,Mining Support Services,5120107012
Basic Materials,Mineral Resources,Metals & Mining,Mining Support Services & Equipment,Mining Machinery & Equipment Manufacturing,5120107013
Basic Materials,Mineral Resources,Metals & Mining,Diversified Mining,Diversified Mining,5120108010
Basic Materials,Mineral Resources,Construction Materials,Construction Materials,Construction Materials (NEC),5120201010
Basic Materials,Mineral Resources,Construction Materials,Construction Materials,Construction Material Processing,5120201011
Basic Materials,Mineral Resources,Construction Materials,Construction Materials,Cement & Concrete Manufacturing,5120201012
Basic Materials,Mineral Resources,Construction Materials,Construction Materials,Tile & Paving Material Manufacturing,5120201013
Basic Materials,Mineral Resources,Construction Materials,Construction Materials,Rock Mining,5120201014
Basic Materials,Mineral Resources,Construction Materials,Construction Materials,Construction Material Wholesale,5120201015
Basic Materials,Applied Resources,Paper & Forest Products,Forest & Wood Products,Forest & Wood Products (NEC),5130101010
Basic Materials,Applied Resources,Paper & Forest Products,Forest & Wood Products,Timber Tract Operations,5130101011
Basic Materials,Applied Resources,Paper & Forest Products,Forest & Wood Products,Forest Nurseries & Gathering of Forest Products,5130101012
Basic Materials,Applied Resources,Paper & Forest Products,Forest & Wood Products,Logging & Sawmills,5130101013
Basic Materials,Applied Resources,Paper & Forest Products,Forest & Wood Products,Forest Support & Services,5130101014
Basic Materials,Applied Resources,Paper & Forest Products,Forest & Wood Products,Wood Products,5130101015
Basic Materials,Applied Resources,Paper & Forest Products,Forest & Wood Products,Wood Product Wholesale,5130101016
Basic Materials,Applied Resources,Paper & Forest Products,Paper Products,Paper Products (NEC),5130102010
Basic Materials,Applied Resources,Paper & Forest Products,Paper Products,Paper Mills & Products,5130102011
Basic Materials,Applied Resources,Paper & Forest Products,Paper Products,Newsprint Mills,5130102012
Basic Materials,Applied Resources,Paper & Forest Products,Paper Products,Pulp Mills,5130102013
Basic Materials,Applied Resources,Paper & Forest Products,Paper Products,Paper Product Wholesale,5130102014
Basic Materials,Applied Resources,Containers & Packaging,Non-Paper Containers & Packaging,Non-Paper Containers & Packaging (NEC),5130201010
Basic Materials,Applied Resources,Containers & Packaging,Non-Paper Containers & Packaging,Textile Containers & Packaging,5130201011
Basic Materials,Applied Resources,Containers & Packaging,Non-Paper Containers & Packaging,Glass Containers & Packaging,5130201012
Basic Materials,Applied Resources,Containers & Packaging,Non-Paper Containers & Packaging,Metal Containers & Packaging,5130201013
Basic Materials,Applied Resources,Containers & Packaging,Non-Paper Containers & Packaging,Plastic Containers & Packaging,5130201014
Basic Materials,Applied Resources,Containers & Packaging,Non-Paper Containers & Packaging,Wood Container & Packaging,5130201015
Basic Materials,Applied Resources,Containers & Packaging,Non-Paper Containers & Packaging,Container & Packaging Material Wholesale,5130201016
Basic Materials,Applied Resources,Containers & Packaging,Paper Packaging,Paper Packaging (NEC),5130202010
Basic Materials,Applied Resources,Containers & Packaging,Paper Packaging,Paper Packaging Wholesale,5130202011
Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense (NEC),5210101010
Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Arms & Ammunitions Manufacturing,5210101011
Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Commercial Aircraft Manufacturing,5210101012
Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Military Aircraft Manufacturing,5210101013
Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Aircraft Parts Manufacturing,5210101014
Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Military Vehicles Manufacturing,5210101015
Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Satellite Design & Manufacture,5210101016
Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Spacecraft Manufacturing,5210101017
Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Military Clothing & Accessories,5210101018
Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Aircraft Equipment Wholesale,5210101019
Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense Electronics,5210101020
Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Drone Manufacturing,5210101021
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Machinery & Equipment (NEC),5210201010
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Components,5210201011
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Machinery,5210201012
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Ball & Roller Bearings,5210201013
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Testing & Measuring Equipment,5210201014
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Pump & Pumping Equipment,5210201015
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Air & Gas Compressors,5210201016
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Welding & Soldering Equipment,5210201017
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Process Furnace & Ovens,5210201018
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Fluid Power Cylinder & Actuators,5210201019
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Automatic Vending Machines,5210201020
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Moulds,5210201021
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Machine Tools,5210201022
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Valve Manufacturing,5210201023
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Machinery & Equipment Wholesale,5210201024
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Commercial Equipment,5210201025
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,Heavy Machinery & Vehicles (NEC),5210202010
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,Construction Machinery,5210202011
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,Heavy Trucks,5210202012
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,Heavy Buses & Coaches,5210202013
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,Locomotive Engines & Rolling Stock,5210202014
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,Agricultural Machinery,5210202015
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,Commercial Landscaping Equipment,5210202016
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,Heavy Machinery & Vehicles Wholesale,5210202017
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Electrical Components & Equipment (NEC),5210203010
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Batteries & Uninterruptible Power Supplies,5210203011
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Wires & Cables,5210203012
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Electrical Components,5210203013
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Lighting Equipment,5210203014
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,"Heating, Ventilation & Air Conditioning Systems",5210203015
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Electrical Insulators,5210203016
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Switchgear,5210203017
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Portable Motors & Generators,5210203018
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Electrical Measuring & Testing Instruments,5210203019
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Electric Equipment Wholesale,5210203020
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Electrical Equipment,Heavy Electrical Equipment (NEC),5210204010
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Electrical Equipment,Electrical Transmission & Grid Equipment,5210204011
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Electrical Equipment,Elevator & Conveying Equipment,5210204012
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Electrical Equipment,Turbine Manufacturing,5210204013
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Electrical Equipment,Heavy Motors & Generators,5210204014
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Electrical Equipment,Industrial Electrical Switchgear,5210204015
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Electrical Equipment,Nuclear Generators & Components,5210204016
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Shipbuilding,Shipbuilding (NEC),5210205010
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Shipbuilding,Ship Parts Manufacturers,5210205011
Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Shipbuilding,Ship Repairing & Maintenance,5210205012
Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),5220102010
Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Commercial Buildings,5220102011
Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Highway & Bridge Construction,5220102012
Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Railway Construction,5220102013
Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Power & Communications Network Construction,5220102014
Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Civil Engineers & Architects,5220102015
Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Building Contractors,5220102016
Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Industrial Plant Construction,5220102017
Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Water & Sewage Construction,5220102018
Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Land Division & Subdivision,5220102019
Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Gas Infrastructure Construction,5220102020
Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Electric Power Plant Construction,5220102021
Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Nuclear Power Plant Construction,5220102022
Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Telecommunication Construction,5220102023
Industrials,Industrial & Commercial Services,Diversified Industrial Goods Wholesale,Diversified Industrial Goods Wholesale,Diversified Industrial Goods Wholesale,5220201010
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,Environmental Services & Equipment (NEC),5220301010
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,Purification & Treatment Equipment,5220301011
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,"Waste Management, Disposal & Recycling Services",5220301012
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,Environmental Consultancy Services,5220301013
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,Environmental R&D Services & Biotechnology,5220301014
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,Carbon Capture & Storage,5220301015
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Commercial Printing Services,Commercial Printing Services (NEC),5220302010
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Commercial Printing Services,Specialized Printing Services,5220302011
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Commercial Printing Services,Newspaper & Magazine Printing Services,5220302012
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Commercial Printing Services,Book Printing Services,5220302013
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Employment Services,Employment Services (NEC),5220303010
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Employment Services,Human Resources Consulting Services,5220303011
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Employment Services,Outsourcing & Staffing Services,5220303012
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Employment Services,Executive Search Services,5220303013
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Employment Services,Online Job Portals,5220303014
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Business Support Services (NEC),5220304010
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Corporate Accounting Services,5220304011
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Legal Services,5220304012
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Management Consulting Services,5220304013
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Security Services,5220304014
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Cleaning Services,5220304016
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Data Processing Services,5220304017
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Industrial Equipment Rental,5220304018
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Office Equipment & Supplies Rental,5220304019
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Pest Control Services,5220304020
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Maintenance & Repair Services,5220304021
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Industrial Design Services,5220304022
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Translation & Interpretation Services,5220304023
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Testing Laboratories,5220304024
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Call Center Services,5220304025
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Exhibition & Conference Services,5220304026
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Transaction & Payment Services,5220304027
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Supplies,Business Support Supplies (NEC),5220306010
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Supplies,Office Furniture,5220306011
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Supplies,Office Supplies,5220306012
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Supplies,"Health, Safety & Fire Protection Equipment",5220306013
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Supplies,Office Supplies Wholesale,5220306014
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Professional Information Services,Professional Information Services (NEC),5220307010
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Professional Information Services,Financial Information Providers,5220307011
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Professional Information Services,Compliance & Investor Communication,5220307012
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Professional Information Services,Rating Agencies,5220307013
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Professional Information Services,Trade & Business Publishing,5220307014
Industrials,Industrial & Commercial Services,Professional & Commercial Services,Professional Information Services,Legal & Tax Information Providers,5220307015
