Sector Code,Sector Name,Industry Group Code,Industry Group Name,Industry Code,Industry Name,Sub-Industry Code,Sub-Industry Name,gics_map,etf_ticker
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,111110,Soybean Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,111120,Oilseed (except Soybean) Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,111130,Dry Pea and Bean Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,111140,Wheat Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,111150,Corn Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,111160,Rice Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,111191,Oilseed and Grain Combination Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,111199,All Other Grain Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1112,Vegetable and Melon Farming,111211,Potato Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1112,Vegetable and Melon Farming,111219,Other Vegetable (except Potato) and Melon Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and ree Nut Farming,111310,Orange Groves,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and ree Nut Farming,111320,Citrus (except Orange) Groves,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and ree Nut Farming,111331,Apple Orchards,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and ree Nut Farming,111332,Grape Vineyards,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and ree Nut Farming,111333,Strawberry Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and ree Nut Farming,111334,Berry (except Strawberry) Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and ree Nut Farming,111335,ree Nut Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and ree Nut Farming,111336,Fruit and ree Nut Combination Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and ree Nut Farming,111339,Other Noncitrus Fruit Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1114,"Greenhouse, Nursery, and Floriculture Production",111411,Mushroom Production,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1114,"Greenhouse, Nursery, and Floriculture Production",111419,Other Food Crops Grown Under Cover,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1114,"Greenhouse, Nursery, and Floriculture Production",111421,Nursery and ree Production,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1114,"Greenhouse, Nursery, and Floriculture Production",111422,Floriculture Production,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,111910,obacco Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,111920,Cotton Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,111930,Sugarcane Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,111940,Hay Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,111991,Sugar Beet Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,111992,Peanut Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,111998,All Other Miscellaneous Crop Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1121,Cattle Ranching and Farming,112111,Beef Cattle Ranching and Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1121,Cattle Ranching and Farming,112112,Cattle Feedlots,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1121,Cattle Ranching and Farming,112120,Dairy Cattle and Milk Production,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1121,Cattle Ranching and Farming,112130,Dual-Purpose Cattle Ranching and Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1122,Hog and Pig Farming,112210,Hog and Pig Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1123,Poultry and Egg Production,112310,Chicken Egg Production,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1123,Poultry and Egg Production,112320,Broilers and Other Meat ype Chicken Production,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1123,Poultry and Egg Production,112330,urkey Production,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1123,Poultry and Egg Production,112340,Poultry Hatcheries,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1123,Poultry and Egg Production,112390,Other Poultry Production,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1124,Sheep and Goat Farming,112410,Sheep Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1124,Sheep and Goat Farming,112420,Goat Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1125,Aquaculture,112511,Finfish Farming and Fish Hatcheries,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1125,Aquaculture,112512,Shellfish Farming,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1125,Aquaculture,112519,Other Aquaculture,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1129,Other Animal Production,112910,Apiculture,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1129,Other Animal Production,112920,Horses and Other Equine Production,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1129,Other Animal Production,112930,Fur-Bearing Animal and Rabbit Production,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1129,Other Animal Production,112990,All Other Animal Production,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",113,Forestry and Logging,1131,imber ract Operations,113110,imber ract Operations,Consumer Staples,XLP
11,"Agriculture, Forestry, Fishing and Hunting",113,Forestry and Logging,1132,Forest Nurseries and Gathering of Forest Products,113210,Forest Nurseries and Gathering of Forest Products,Consumer Staples,XLP
